beatmap_id,artist,title,predicted_tags,confidence_percent
870839,Treyarch Sound,115,"streams, bursts","100.00%, 99.89%"
4791385,toby fox,Song That Might Play When You Fight Sans,"slider aim, aim consistency","98.14%, 95.30%"
2537405,Katagiri,Samama Festival! (katagiri Bootleg),streams,99.70%
4206932,ITZY,Bet On Me,consistent spacing,98.64%
4276946,KAMELOT,Veil of Elysium,aim,99.56%
3785071,Camellia,Another Xronixle,"streams, bursts, stamina","99.99%, 95.57%, 90.05%"
4804764,APINK,NoNoNo,aim,90.67%
2196289,FELE,Absolute Relative,"streams, deathstream, consistency, stamina","100.00%, 97.65%, 96.22%, 99.91%"
1126915,B-ko (Cv:Touyama Nao),Nisemono Chuuihou,streams,99.61%
3555094,VeetaCrush & ProjectG,glacier's poetry,streams,97.58%
2799073,Kotone,PUNISHMENT,aim,100.00%
1114473,Leslie Wai,Paradigm,"streams, deathstream, consistency, stamina","99.79%, 92.87%, 88.83%, 95.61%"
3744296,Sum 41,No Reason,bursts,99.90%
3810330,Mrs. GREEN APPLE,Ao to Natsu (katagiri Bootleg),streams,99.99%
4708806,Green Day,Bang Bang,aim,91.47%
4534858,Release Hallucination,I.F.,stamina,90.91%
2002462,Various Artists,Long Stream Practice,"deathstream, khz method, practice, stamina","99.84%, 99.95%, 99.97%, 99.99%"
2515157,Lil Darkie,rap music,tech,99.12%
3050529,Camellia,Xeroa,deathstream,88.22%
1652503,Slugdge,War Squids,"streams, bursts, spaced streams","100.00%, 88.33%, 99.05%"
3047284,Infected Mushroom & BLiSS,Ani Mevushal,finger control,90.44%
1261878,Yuaru,Asu no Yozora Shoukaihan (Speed Up Ver.),"aim, triples","94.77%, 98.83%"
129891,xi,FREEDOM DiVE,streams,86.35%
4118768,"Murakami Tomoe, Matoba Risa, Koseki Reina, Fujimoto Rina, Mukai Takumi",EVIL LIVE (M@STER VERSION),flow aim,90.31%
2988414,II-L,SPUTNIK-3,alternating,97.49%
2285424,Sound Souler,Absent Color,"slider aim, aim","85.50%, 99.79%"
3547628,Co Shu Nie,bullet (Slushii Remix),aim,99.65%
730865,guna with team kyukkyu,subconsciousness,aim,100.00%
3881559,TEARS OF TRAGEDY,Epitaph,aim,98.14%
3843162,Ekcle,Crafted In Ice,"streams, bursts","99.98%, 99.94%"
2651889,Ice,Entrance,"aim, large jumps","99.64%, 87.23%"
4360374,Reol,Yakusoku no Ao,aim control,94.66%
1862506,Gram vs. Camellia,Ragnarok,"streams, bursts","100.00%, 99.92%"
1770626,Two Door Cinema Club,Undercover Martyn,aim,99.64%
1749322,Simple Plan,You Suck At Love (Speed Up Ver.),high spacing,98.40%
2012300,Xanthochroid,Of Gods Bereft of Grace,aim,87.72%
2014201,suzumu,Tokyo Teddy Bear,streams,97.67%
1935748,Mandragora,Galactic Symphony,"streams, bursts, stamina","99.99%, 99.64%, 99.53%"
1654883,trapman featuring CreeperWorks,minefield surfing,aim,93.59%
968065,Syaro(CV.Uchida Maaya),Caffeine Fighter,farm,88.21%
3920772,sasakure.UK x TJ.hangneil,World Ender,tech,92.43%
2494801,SHK,S.Y.S.T.E.M,"complex patterns, reading, perfect overlap, geometric, linear patterns","97.28%, 98.33%, 98.24%, 98.63%, 96.21%"
4562555,"RXDXVIL, DJ FKU & John Bis.T",MTG - PISTA TOMA (SPED UP),aimslop,85.27%
3144568,Alestorm,Keelhauled,aim,98.45%
4317467,Orden Ogan,Hollow,streams,99.80%
1390721,Notaker,Shimmer,aim,98.90%
3272896,Quinn Karter,Living in a Dream (feat. Natalie Major) (Feint Remix),aim,99.75%
3647082,Kaatarakt,Sunless Dawn,"streams, farm","99.92%, 87.66%"
2097898,Bliitzit,Team Magma & Aqua Leader Battle Theme (Unofficial),aim,90.37%
2696100,Reol,Q?,aim,90.55%
3997166,Lady Gaga,Bloody Mary (Sped Up Ver.),"aim, aimslop","99.99%, 98.30%"
4112173,Mental Cruelty,Forgotten Kings,streams,97.51%
2593880,TUYU,Kako ni Torawarete Iru,"aim, awkward aim","99.67%, 92.86%"
2514739,Aqua,Barbie girl,tech,96.51%
791274,goreshit,burn this moment into the retina of my eye,streams,99.94%
3891621,Lorna Shore,"Pain Remains I & II: Dancing Like Flames / After All I've Done, I'll Disappear","streams, stamina","96.59%, 99.56%"
2087927,PSYQUI,Still in my heart feat. Punipuni Denki,bursts,99.80%
4731228,Blueberry Sunshine,Act My Age,streams,99.90%
4342439,flipboitamidle5,Starboy x Survive - Stranger Boy,"aim, aimslop","98.03%, 99.93%"
4468019,Mason and Princess Superstar,Perfect (Exceeder),alternating,96.85%
4776900,sasakure.UK,the EmpErroR (Full Ver.),aim,93.43%
